elections_year,region,commission_name,voters_number,ballots_number_received,issued_ballots_number_early,issued_ballots_number_voting_day_incide,issued_ballots_number_voting_day_outside,ballots_number_extinguished,ballots_number_portable_boxes,ballots_number_stationary_boxes,ballots_number_invalid,ballots_number_valid,ballots_number_lost,ballots_number_not_counted,baburin_sergey_nikolaevich_number,baburin_sergey_nikolaevich_percent,grudinin_pavel_nikolaevich_number,grudinin_pavel_nikolaevich_percent,zhirinovsky_vladimir_volfovich_number,zhirinovsky_vladimir_volfovich_percent,vladimir_vladimirovich_putin_number,vladimir_vladimirovich_putin_percent,sobchak_ksenia_anatolyevna_number,sobchak_ksenia_anatolyevna_percent,suraykin_maxim_alexandrovich_number,suraykin_maxim_alexandrovich_percent,titov_boris_yurievich_number,titov_boris_yurievich_percent,yavlinsky_grigory_alekseevich_number,yavlinsky_grigory_alekseevich_percent
18.03.2018,Ставропольский край,Апанасенковская,23041,21660,0,12574,2142,6944,2142,12572,231,14483,0,0,102,0.69,2820,19.17,1213,8.24,10000,67.96,130,0.88,123,0.84,64,0.43,31,0.21
18.03.2018,Ставропольский край,Арзгирская,17592,16520,0,9159,1302,6059,1302,9159,140,10321,0,0,68,0.65,1951,18.65,565,5.40,7510,71.79,78,0.75,79,0.76,38,0.36,32,0.31
18.03.2018,Ставропольский край,Благодарненская,41516,38950,0,21359,3640,13951,3640,21275,347,24568,0,0,144,0.58,3231,12.97,1534,6.16,19172,76.95,151,0.61,182,0.73,82,0.33,72,0.29
18.03.2018,Ставропольский край,Буденновская,76466,78684,0,46677,7272,24735,7272,46587,752,53107,0,0,302,0.56,7221,13.41,2872,5.33,41442,76.95,478,0.89,334,0.62,274,0.51,184,0.34
18.03.2018,Ставропольский край,Георгиевская,62951,60050,0,38924,6875,14251,6875,38924,394,45405,0,0,190,0.41,5532,12.08,2030,4.43,36885,80.54,272,0.59,222,0.48,172,0.38,102,0.22
18.03.2018,Ставропольский край,Грачевская,25156,24360,0,15172,2534,6654,2534,15172,183,17523,0,0,107,0.60,2085,11.78,907,5.12,14063,79.43,133,0.75,95,0.54,80,0.45,53,0.30
18.03.2018,Ставропольский край,Ессентукская городская,68300,66150,0,44956,5965,15229,5965,44952,408,50509,0,0,269,0.53,5882,11.55,1725,3.39,41366,81.24,412,0.81,246,0.48,301,0.59,308,0.60
18.03.2018,Ставропольский край,Железноводская городская,37843,39000,0,26515,3037,9448,3037,26514,336,29215,0,0,150,0.51,3387,11.46,1177,3.98,23717,80.26,309,1.05,165,0.56,148,0.50,162,0.55
18.03.2018,Ставропольский край,Изобильненская,70312,66600,0,42782,5869,17949,5869,42779,912,47736,0,0,276,0.57,5994,12.32,2790,5.74,37546,77.18,359,0.74,327,0.67,249,0.51,195,0.40
18.03.2018,Ставропольский край,Ипатовская,43261,41720,0,27498,5938,8284,5938,27483,339,33082,0,0,198,0.59,3569,10.68,1861,5.57,26855,80.35,193,0.58,223,0.67,112,0.34,71,0.21
18.03.2018,Ставропольский край,Кировская,44896,42400,0,32070,5962,4368,5962,32063,237,37788,0,0,153,0.40,3516,9.25,1166,3.07,32427,85.28,154,0.40,193,0.51,109,0.29,70,0.18
18.03.2018,Ставропольский край,Кисловодская городская,72283,71530,0,45954,5969,19607,5969,45944,480,51433,0,0,351,0.68,5038,9.70,1993,3.84,42158,81.21,710,1.37,357,0.69,371,0.71,455,0.88
18.03.2018,Ставропольский край,Кочубеевская,55369,51650,0,36706,4836,10108,4836,36703,369,41170,0,0,201,0.48,4173,10.05,2053,4.94,34027,81.92,234,0.56,240,0.58,151,0.36,91,0.22
18.03.2018,Ставропольский край,Красногвардейская,27665,26878,0,16503,5215,5160,5215,16503,237,21481,0,0,140,0.64,3008,13.85,1329,6.12,16608,76.47,132,0.61,139,0.64,69,0.32,56,0.26
18.03.2018,Ставропольский край,Курская,34278,31860,0,17219,2466,12175,2466,17218,269,19415,0,0,116,0.59,3739,18.99,716,3.64,14451,73.41,161,0.82,130,0.66,53,0.27,49,0.25
18.03.2018,Ставропольский край,Левокумская,26130,24890,0,15271,2732,6887,2732,15249,211,17770,0,0,117,0.65,2808,15.62,946,5.26,13508,75.12,117,0.65,145,0.81,78,0.43,51,0.28
18.03.2018,Ставропольский край,Лермонтовская городская,17338,16500,0,10277,557,5666,557,10277,101,10733,0,0,82,0.76,2157,19.91,692,6.39,7390,68.21,138,1.27,98,0.90,96,0.89,80,0.74
18.03.2018,Ставропольский край,Минераловодская,95786,88912,0,53022,5557,30333,5557,53008,668,57897,0,0,353,0.60,9350,15.97,2712,4.63,44049,75.21,504,0.86,406,0.69,297,0.51,226,0.39
18.03.2018,Ставропольский край,Невинномысская городская,85816,85710,0,62369,8905,14436,8905,62369,728,70546,0,0,501,0.70,7164,10.05,3530,4.95,57086,80.09,811,1.14,488,0.68,500,0.70,466,0.65
18.03.2018,Ставропольский край,Нефтекумская,41902,39950,0,29908,3638,6404,3638,29908,309,33237,0,0,113,0.34,4601,13.72,1069,3.19,26884,80.14,224,0.67,220,0.66,75,0.22,51,0.15
18.03.2018,Ставропольский край,Новоалександровская,43573,42440,0,35092,2965,4383,2965,35088,347,37706,0,0,154,0.40,2786,7.32,1467,3.86,32677,85.87,213,0.56,143,0.38,131,0.34,135,0.35
18.03.2018,Ставропольский край,Новоселицкая,17030,16600,0,10726,1932,3942,1932,10726,127,12531,0,0,64,0.51,1802,14.24,586,4.63,9894,78.16,58,0.46,77,0.61,28,0.22,22,0.17
18.03.2018,Ставропольский край,Петровская,52267,48350,0,28187,6897,13266,6897,28180,411,34666,0,0,227,0.65,4991,14.23,2226,6.35,26455,75.42,248,0.71,238,0.68,166,0.47,115,0.33
18.03.2018,Ставропольский край,Предгорная,80055,80000,0,43275,7824,28901,7824,42472,639,49657,0,0,245,0.49,7588,15.09,2208,4.39,38464,76.48,428,0.85,334,0.66,212,0.42,178,0.35
18.03.2018,Ставропольский край,Пятигорская городская,135701,136590,0,80663,3490,52437,3490,80538,967,83061,0,0,615,0.73,11461,13.64,3734,4.44,63991,76.15,1288,1.53,539,0.64,694,0.83,739,0.88
18.03.2018,Ставропольский край,Советская,47338,46470,0,23194,5139,18137,5139,23192,297,28034,0,0,142,0.50,3787,13.37,1484,5.24,22073,77.91,152,0.54,178,0.63,158,0.56,60,0.21
18.03.2018,Ставропольский край,"Ставрополь, Ленинская",81742,78445,0,64595,5742,8108,5742,64593,397,69938,0,0,285,0.41,5325,7.57,1792,2.55,60864,86.53,622,0.88,251,0.36,392,0.56,407,0.58
18.03.2018,Ставропольский край,"Ставрополь, Октябрьская",62365,61498,0,50177,3010,8311,3010,50171,289,52892,0,0,256,0.48,4477,8.42,1575,2.96,45161,84.92,506,0.95,272,0.51,331,0.62,314,0.59
18.03.2018,Ставропольский край,"Ставрополь, Промышленная",151063,147831,0,118967,13317,15547,13316,118952,682,131586,0,0,720,0.54,8830,6.68,3570,2.70,115161,87.07,1210,0.91,615,0.46,745,0.56,735,0.56
18.03.2018,Ставропольский край,Степновская,13834,14000,0,8387,1317,4296,1317,8387,204,9500,0,0,49,0.50,1204,12.41,442,4.55,7609,78.41,81,0.83,53,0.55,39,0.40,23,0.24
18.03.2018,Ставропольский край,Труновская,24441,24773,0,14828,2737,7208,2737,14828,252,17313,0,0,119,0.68,2714,15.45,1022,5.82,13096,74.56,115,0.65,118,0.67,74,0.42,55,0.31
18.03.2018,Ставропольский край,Туркменская,17680,17000,0,11226,1427,4347,1427,11224,181,12470,0,0,73,0.58,1912,15.11,488,3.86,9813,77.57,63,0.50,52,0.41,42,0.33,27,0.21
18.03.2018,Ставропольский край,Шпаковская,89987,90090,0,70659,6262,13169,6262,70416,419,76259,0,0,362,0.47,5817,7.59,2623,3.42,65988,86.06,542,0.71,352,0.46,330,0.43,245,0.32
18.03.2018,Ставропольский край,Георгиевская городская,44404,42700,0,23859,4615,14226,4613,23858,367,28104,0,0,179,0.63,3600,12.64,1247,4.38,22285,78.27,258,0.91,175,0.61,203,0.71,157,0.55
